STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1TXCML232,"NEW BRAUNFELS 10.7 NNE, TX US",29.853658,-98.067684,290.2
US1TXJJ0018,"BEAUMONT 0.8 NNE, TX US",30.098688,-94.138662,6.7
US1TXJJ0017,"BEAUMONT 0.3 ESE, TX US",30.085802,-94.14018,14
US1TXJJ0015,"NEDERLAND 1.8 W, TX US",29.96651,-94.02509,5.2
US1TXCML231,"SPRING BRANCH 2.5 WSW, TX US",29.8285,-98.4491,382.5
US1TXCHD004,"CHILDRESS 2.3 E, TX US",34.4233847,-100.2085908,572.7
US1TXWM0231,"GEORGETOWN 2.8 NNW, TX US",30.68133926,-97.71174622,260.3
US1TXGA0007,"DENISON 0.8 ENE, TX US",33.760806,-96.551384,238.7
US1TXWM0233,"GEORGETOWN 4.3 W, TX US",30.641794,-97.758409,264.6
US1TXCHD006,"CHILDRESS 6.0 E, TX US",34.416352,-100.143698,537.1
US1TXGA0005,"VAN ALSTYNE 0.2 E, TX US",33.420378,-96.570014,241.1
US1TXGA0009,"POTTSBORO 7.1 WNW, TX US",33.81834,-96.78264,215.2
US1TXFR0010,"PEARSALL 21.1 WNW, TX US",29.05,-99.389,206
USC00417176,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158,1.8
US1TXFR0013,"PEARSALL 1.4 W, TX US",28.885521,-99.11548,185.9
US1TXFR0012,"DILLEY 0.4 SSW, TX US",28.663225,-99.172441,166.7
US1TXJJ0009,"BEAUMONT 3.3 SW, TX US",30.052703,-94.181985,6.7
US1TXCML003,"NEW BRAUNFELS 3.1 WNW, TX US",29.720969,-98.165542,252.1
US1TXJJ0008,"BEAUMONT 0.3 E, TX US",30.087384,-94.138878,5.5
USC00410784,"BIG SPRING FIELD STATION, TX US",32.2683,-101.4858,764.7
USC00411875,"COLEMAN, TX US",31.82766,-99.43192,523.6
US1TXCML005,"NEW BRAUNFELS 2.3 NE, TX US",29.730536,-98.09376,207.9
USC00419361,"VICTORIA FIRE DEPARTMENT NUMBER 5, TX US",28.8608,-97.0181,30.8
USC00417184,"PORT MANSFIELD, TX US",26.5577,-97.4263,2.7
US1TXHDL046,"MCALLEN 2.7 NNE, TX US",26.25268,-98.225176,35.1
USR0000TBRA,"BRAZORIA NWR TEXAS, TX US",29.1417,-95.2917,3
USC00411880,"COLETO CREEK RESERVOIR, TX US",28.7156,-97.1742,36
USC00419367,"VICTORIA REGIONAL AIRPORT, TX US",28.8439,-96.9214,31.7
US1TXHDL040,"MISSION 9.6 N, TX US",26.3508153,-98.31121825,52.1
US1TXMNG079,"SPRING 4.2 N, TX US",30.122209,-95.386898,39.9
US1TXMNG078,"THE WOODLANDS 5.0 NW, TX US",30.216,-95.54006,60
US1TXCML218,"CANYON LAKE 3.1 E, TX US",29.879592,-98.210612,289.6
US1TXCML219,"NEW BRAUNFELS 8.6 WNW, TX US",29.74812,-98.252219,342.3
US1TXWM0219,"ROUND ROCK 1.3 ESE, TX US",30.51214,-97.650886,210.9
US1TXCML216,"NEW BRAUNFELS 10.9 NW, TX US",29.807174,-98.254599,359.7
US1TXWO0060,"FLORESVILLE 10.0 NW, TX US",29.227554,-98.285859,137.2
US1TXMNG080,"MONTGOMERY 5.6 ENE, TX US",30.434776,-95.617386,63.1
USW00003969,"STEPHENVILLE 9 NNE, TX US",32.33624,-98.141,378
US1TXWO0061,"LA VERNIA 2.7 SW, TX US",29.326765,-98.14599,217.9
US1TXMNG067,"THE WOODLANDS 4.6 NNW, TX US",30.216,-95.5254,51.2
US1TXCML224,"NEW BRAUNFELS 2.4 NE, TX US",29.732746,-98.093851,210
US1TXWM0229,"ROUND ROCK 2.2 ESE, TX US",30.50213,-97.63992,227.4
US1TXCML228,"NEW BRAUNFELS 4.1 WNW, TX US",29.727734,-98.181015,248.4
US1TXWM0222,"HUTTO 0.8 WNW, TX US",30.54947853,-97.55444336,208.2
USC00416074,"MORTON, TX US",33.7187,-102.75866,1147.9
US1TXWM0221,"GEORGETOWN 8.0 WNW, TX US",30.7093,-97.7994,310.9
USC00419346,"VERNON, TX US",34.15167,-99.3255,368.8
USC00419588,"WESLACO, TX US",26.178,-97.9708,22.9
