STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
USC00417176,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158,1.8
USC00411875,"COLEMAN, TX US",31.82766,-99.43192,523.6
USC00417184,"PORT MANSFIELD, TX US",26.5577,-97.4263,2.7
USR0000TBRA,"BRAZORIA NWR TEXAS, TX US",29.1417,-95.2917,3
USC00411880,"COLETO CREEK RESERVOIR, TX US",28.7156,-97.1742,36
USC00419367,"VICTORIA REGIONAL AIRPORT, TX US",28.8439,-96.9214,31.7
USC00416074,"MORTON, TX US",33.7187,-102.75866,1147.9
USC00419588,"WESLACO, TX US",26.178,-97.9708,22.9
USC00419101,"TOWN BLUFF DAM, TX US",30.793,-94.1819,65.2
USR0000TSOU,"SOUTHERN ROUGH TEXAS, TX US",30.5403,-94.3411,30.5
USR0000TMCF,"MCFADDEN TEXAS, TX US",29.7,-94.1167,1.5
USC00414081,"HENDERSON, TX US",32.1809,-94.7963,128
USC00418446,"SOMERVILLE DAM, TX US",30.3368,-96.5402,80.2
USC00417111,"PLEASANTON, TX US",28.9605,-98.4772,109.1
USC00419532,"WEATHERFORD, TX US",32.7483,-97.77,291.1
USC00418201,"SEMINOLE, TX US",32.7131,-102.6596,1016.8
USC00415183,"LEVELLAND, TX US",33.5501,-102.3758,1071.1
USR0000TMAA,"MATADOR W.M.A. TEXAS, TX US",34.1333,-100.4167,579.1
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",29.7047,-98.0288,191.4
USC00418433,"SNYDER, TX US",32.7101,-100.9112,706.8
USR0000TKIR,"KIRBYVILLE TEXAS, TX US",30.4333,-93.8833,91.4
USC00418862,"TAYLOR 1 NW, TX US",30.5844,-97.4156,174
USC00419952,"YOAKUM, TX US",29.2738,-97.1555,89.9
USC00412082,"CRANE, TX US",31.4072,-102.3577,778.5
USC00416680,"ORANGE 9 N, TX US",30.2263,-93.7394,5.5
USC00419711,"WHITE RIVER RESERVOIR, TX US",33.45611,-101.0925,735.2
USC00410902,"BOERNE, TX US",29.7986,-98.7353,440.4
USC00414278,"HORDS CREEK DAM, TX US",31.84555,-99.56068,594.1
USR0000TMID,"MIDLAND TEXAS, TX US",32,-102,854
USC00415341,"LONGVIEW, TX US",32.4725,-94.7172,100.6
USR0000TMIL,"MILLER CREEK TEXAS, TX US",33.4136,-99.4006,406.9
USC00414577,"JEFFERSON, TX US",32.7692,-94.3591,64.3
USR0000TBAS,"BASTROP TEXAS, TX US",30.1742,-97.2564,116.7
USC00415435,"LUMBERTON, TX US",30.2502,-94.1786,11.9
USC00413257,"FORT MCKAVETT, TX US",30.82728,-100.11023,661.1
USR0000TBAR,"BARNHART TEXAS, TX US",30.9856,-101.1578,780.9
USR0000TSBS,"SABINE SOUTH TEXAS, TX US",31.2803,-93.8386,101.2
USC00419800,"WILLS POINT, TX US",32.7019,-96.015,158.5
USC00417622,"RIO GRANDE CITY, TX US",26.3769,-98.8116,52.4
USC00414597,"JOE POOL LAKE, TX US",32.6405,-96.9747,180.1
USC00413225,"FOLLETT, TX US",36.4327,-100.1369,844.3
USC00411048,"BRENHAM, TX US",30.1591,-96.3972,95.4
USR0000THMB,"HAMBY TEXAS, TX US",32.5,-99.6167,579.1
USR0000TLUF,"LUFKIN TEXAS, TX US",31.3131,-94.8261,74.7
USC00416742,"PADUCAH 15 S, TX US",33.8084,-100.298,558.4
USR0000TSAB,"SAN BERNARD TEXAS, TX US",28.8647,-95.5678,6.4
USC00415658,"MATADOR, TX US",34.025,-100.8117,719.3
USC00418924,"TERLINGUA, TX US",29.3485,-103.595,802.5
USC00415661,"MATHIS 4 SSW, TX US",28.0372,-97.8725,42.1
USC00412114,"CROCKETT, TX US",31.3072,-95.4509,105.8
USC00416959,"PERSIMMON GAP, TX US",29.6602,-103.1736,873.3
USC00412121,"CROSBYTON, TX US",33.6516,-101.245,917.4
USC00413214,"FLOYDADA, TX US",33.9849,-101.3338,981.5
